date,posTests,negTests,pending,hospCurrent,hospitalAgg,ICUCurrent,ICUCumulative,VentCurrent,VentAgg,recovered,death,totaltest,deathIncrease,hospitalIncrease,posIncrease,TestIncrease
20200628,2540983,28447030,2198,32117,240156,5230,10473,2077,983,685164,119429,30990211,273,580,42161,586369
20200627,2498822,27902822,2186,32220,239576,5296,10415,2159,977,679308,119156,30403830,506,1057,43471,590877
20200626,2455351,27355416,2201,31423,238519,5263,10334,2075,966,670809,118650,29812968,619,1526,44373,602947
20200625,2410978,26796842,2133,31532,236993,5305,10257,2214,951,663562,118031,29209953,2500,1257,39061,637587
20200624,2371917,26198316,2049,30826,235736,5279,10173,2248,934,656161,115531,28572282,722,1310,38706,512428
20200623,2333211,25724594,1891,29920,234426,5416,10077,2293,918,647548,114809,28059696,703,1257,33018,501414
20200622,2300193,25256198,2028,28490,233169,5311,10002,2299,909,640198,114106,27558419,282,800,27050,464772
20200621,2273143,24818476,2084,27718,232369,5155,9944,2321,904,622133,113824,27093703,297,514,27287,512208
20200620,2245856,24333555,2108,27757,231855,5220,9908,2380,888,617460,113527,26581519,621,745,31958,566476
20200619,2213898,23799037,2032,28392,231110,5332,9876,2434,884,606715,112906,26014967,647,1613,31055,571246
20200618,2182843,23258846,1903,28185,229497,5458,9736,2520,869,599288,112259,25443592,693,1040,27512,517739
20200617,2155331,22768619,1745,28311,228457,5605,9665,2588,857,592191,111566,24925695,778,1130,23871,488751
20200616,2131460,22303739,1604,28028,227327,5564,9590,2594,845,583503,110788,24436803,713,1325,23638,467026
20200615,2107822,21860351,1619,27115,226002,5695,9516,2636,835,576334,110075,23969792,379,519,18655,447739
20200614,2089167,21431267,1672,27247,225483,5743,9466,2716,834,561816,109696,23522106,356,640,21240,478569
20200613,2067927,20973938,1698,27902,224843,5878,9430,2726,830,556606,109340,23043563,693,1105,25134,499828
20200612,2042793,20499244,1783,28524,223738,6012,9373,2734,814,547386,108647,22543820,771,1245,23481,594316
20200611,2019312,19928409,1816,29064,222493,6067,9295,2886,792,540292,107876,21949537,903,1367,22051,459079
20200610,1997261,19491381,1737,30203,221126,6242,9225,3020,780,533504,106973,21490379,874,1484,20764,429546
20200609,1976497,19082599,1661,30547,219642,6450,9141,3090,771,524855,106099,21060757,893,1527,17156,420463
20200608,1959341,18679292,1606,29969,218115,6394,9013,3240,762,518522,105206,20640239,657,714,17168,403692
20200607,1942173,18292768,1733,30299,217401,6493,8957,3298,753,506367,104549,20236674,449,685,18774,446343
20200606,1923399,17865199,1796,30909,216716,6754,8920,3476,750,500849,104100,19790394,721,1017,23038,482914
20200605,1900361,17405323,1749,31335,215699,6912,8863,3523,740,491706,103379,19307433,844,1440,23363,509466
20200604,1876998,16919220,3474,31659,214259,7054,8787,3665,723,485002,102535,18799692,878,-2841,20828,462250
20200603,1856170,16477798,3556,32081,217100,7224,8688,3749,717,479258,101657,18337524,965,2255,20314,467965
20200602,1835856,16030147,4054,32728,214845,7403,8566,3852,710,463868,100692,17870057,971,1585,19996,419864
20200601,1815860,15630279,3455,33160,213260,7588,8485,3950,704,458231,99721,17449594,665,2796,20379,413248
20200531,1795481,15237410,3270,33840,210464,7623,8445,3669,704,444758,99056,17036161,657,976,21672,399421
20200530,1773809,14859661,1668,34650,209488,7956,8305,4004,698,416461,98399,16635138,932,1424,23842,427784
20200529,1749967,14455719,2978,35871,208064,8175,8235,4032,689,406446,97467,16208664,1177,1715,23485,491504
20200528,1726482,13987700,1906,36967,206349,8389,8109,4080,676,399991,96290,15716088,1242,1630,22610,415315
20200527,1703872,13594995,3132,37241,204719,8547,8015,4222,666,391508,95048,15301999,1309,1713,19395,310216
20200526,1684477,13304174,1549,36609,203006,8585,7899,4215,650,384902,93739,14990200,640,17320,16620,306714
20200525,1667857,13014080,3368,36668,185686,8472,7847,4237,642,379157,93099,14685305,561,1002,18728,421768
20200524,1649129,12611040,3860,36706,184684,8487,7801,4383,639,366736,92538,14264029,682,921,20134,383233
20200523,1628995,12247941,4084,37873,183763,8812,7770,4620,638,361239,91856,13881020,1048,1378,21698,391568
20200522,1607297,11878071,3709,38802,182385,9048,7689,4716,633,350135,90808,13489077,1285,4046,24519,411208
20200521,1582778,11491382,3641,39915,178339,9090,7412,4868,616,298418,89523,13077801,1398,4630,26559,422062
20200520,1556219,11095879,2973,40884,173709,9829,7319,4911,613,294312,88125,12655071,1382,1996,21537,408729
20200519,1534682,10708687,2944,41091,171713,9829,7217,5032,606,289484,86743,12246313,1292,1597,20794,401108
20200518,1513888,10328373,3596,40869,170116,9987,7064,5257,602,283178,85451,11845857,866,1157,20976,356121
20200517,1492912,9993228,3449,41108,168959,10164,7003,5467,593,272265,84585,11489589,889,1199,20286,373562
20200516,1472626,9639952,3788,42896,167760,10509,6945,5529,592,268376,83696,11116366,1256,1856,24664,363606
20200515,1447962,9301010,2457,42854,165904,10704,6890,5746,589,250747,82440,10751429,1500,1353,24681,359768
20200514,1423281,8965923,2673,44075,164551,10888,6795,5940,582,246414,80940,10391877,1869,3206,26658,365598
20200513,1396623,8626983,1983,44514,161345,10978,6713,6156,572,243430,79071,10025589,1694,1809,21218,319604
20200512,1375405,8328597,1803,45199,159536,11241,5595,6352,559,238857,77377,9705805,1473,1579,22608,308692
20200511,1352797,8042513,1989,44191,157957,11147,6488,6350,551,232142,75904,9397299,888,1238,18237,382808
20200510,1334560,7677942,3095,44943,156719,11393,6445,6395,547,215591,75016,9015597,1024,1055,21603,268040
20200509,1312957,7431505,3054,46637,155664,11496,6367,6551,543,211976,73992,8747516,1434,1708,24734,291606
20200508,1288223,7164633,3307,47718,153956,11780,6294,6788,531,198459,72558,8456163,1780,6892,27623,298876
20200507,1260600,6893380,3171,49130,147064,12137,5174,7070,529,194528,70778,8157151,2739,3742,27544,302389
20200506,1233056,6618535,2742,50227,143322,9380,4911,4753,449,189425,68039,7854333,1933,2119,24986,245492
20200505,1208070,6398029,2633,50906,141203,9348,4794,4818,439,189336,66106,7608732,2443,1983,22427,271488
20200504,1185643,6148968,2791,50062,139220,9366,4579,4848,430,186752,63663,7337402,1013,1651,22407,231805
20200503,1163236,5939570,2812,50312,137569,9292,4502,4761,425,179733,62650,7105618,1215,1963,25774,236722
20200502,1137462,5728622,1578,51734,135606,9403,4386,4845,375,174987,61435,6867662,1541,2031,29323,248880
20200501,1108139,5509065,1639,52370,133575,9205,4300,4707,376,163644,59894,6618843,1753,9789,33080,295619
20200430,1075059,5246526,2775,53793,123786,9486,4192,4712,373,154648,58141,6324360,2117,2290,29645,233887
20200429,1045414,5042284,4832,54930,121496,9612,4093,4796,365,147165,56024,6092530,2692,3415,27180,239053
20200428,1018234,4830411,4206,54940,118081,9491,3798,4760,195,139041,53332,5852851,2042,2079,25098,206309
20200427,993136,4649200,4077,54971,116002,9655,3720,4867,195,121323,51290,5646413,1237,3076,22045,195884
20200426,971091,4475361,4445,55050,112926,14831,2571,5121,227,116529,50053,5450897,1188,2192,27414,206638
20200425,943677,4296137,5315,56344,110734,15020,2516,5266,227,112539,48865,5245129,1714,2456,36026,277690
20200424,907651,4054473,4396,56075,108278,15078,2468,5187,227,101296,47151,4966520,1865,2338,34196,235626
20200423,873455,3853043,4258,57889,105940,15163,2428,5464,227,96921,45286,4730756,1764,2802,31786,193199
20200422,841669,3691630,4191,58130,103138,15341,2370,5474,227,92978,43522,4537490,2065,3087,28908,323601
20200421,812761,3396937,3956,58579,100051,15228,2315,5514,214,72842,41457,4213654,2429,2682,26315,152936
20200420,786446,3270316,4037,55677,97369,14691,2193,5567,214,69493,39028,4060799,1765,2211,25837,146056
20200419,760609,3150097,11324,55570,95158,14548,2145,5603,214,67205,37263,3922030,1733,2239,27405,153763
20200418,733204,3023739,9906,56591,92919,14788,2096,5729,205,62840,35530,3766849,1837,3563,27982,146234
20200417,705222,2905487,10889,57808,89356,14910,2052,6096,148,53533,33693,3621598,2077,3405,32013,159591
20200416,673209,2777909,16927,58625,85951,15150,1834,5940,137,48851,31616,3468045,2141,3071,30840,163483
20200415,642369,2645266,16901,59260,82880,14667,1783,6032,223,43435,29475,3304536,2486,4434,30269,138095
20200414,612100,2537440,16615,58719,78446,14039,1715,5975,221,39268,26989,3166155,2287,3282,25639,152185
20200413,586461,2410894,17159,55295,75164,13632,1628,6168,210,35372,24702,3014514,1572,4285,25257,133454
20200412,561204,2302697,16419,54749,70879,13623,1455,5986,160,34081,23130,2880320,1630,3288,27871,139323
20200411,533333,2191245,16593,54757,67591,13280,1405,5978,154,31567,21500,2741171,1982,2825,30615,138891
20200410,502718,2082969,17435,51745,64766,12698,1185,5937,41,28997,19518,2603122,2055,4934,34235,157502
20200409,468483,1959702,17622,49826,59832,12254,924,5794,39,24819,17463,2445807,1972,3923,34417,169694
20200408,434066,1824425,17219,44063,55909,9932,1013,4131,216,21102,15491,2275710,1944,4311,30481,147468
20200407,403585,1707438,16548,42294,51598,9875,889,4076,151,18443,13547,2127571,1956,2981,30624,154321
20200406,372961,1583741,17283,34663,48617,6943,814,2961,147,16554,11591,1973985,1254,2946,28891,151525
20200405,344070,1461107,17303,30905,45671,5677,760,652,147,14513,10337,1822480,1285,3903,25484,119194
20200404,318586,1367397,15569,29095,41768,5383,554,656,147,12816,9052,1701552,1440,5086,33212,229260
20200403,285374,1171349,61976,24564,36682,4811,486,605,147,10861,7612,1518699,1259,4554,31896,132569
20200402,253478,1070676,62097,21833,32128,4410,456,574,140,8586,6353,1386251,1149,4175,28021,119025
20200401,225457,979672,59665,19982,27953,3937,407,561,140,7084,5204,1264794,988,4228,25750,108208
20200331,199707,897214,59518,17856,23725,3487,236,507,,5666,4216,1156439,861,3906,24708,112335
20200330,174999,809587,65369,15574,19819,3087,187,451,,4560,3355,1049955,577,2536,21927,118648
20200329,153072,712866,65545,13833,17283,2456,156,439,,4052,2778,931483,516,2775,19605,87547
20200328,133467,644924,65709,12179,14508,2174,140,390,,3143,2262,844100,519,2425,19696,106837
20200327,113771,557783,60091,10789,12083,1792,124,324,,2418,1743,731645,401,2563,19051,103505
20200326,94720,473329,60251,7617,9520,1299,91,258,,97,1342,628300,311,2499,17648,101631
20200325,77072,389346,51235,4971,7021,,74,167,,146,1031,517653,232,1904,12853,84263
20200324,64219,317936,14433,3828,5117,,,,,,799,396588,231,1180,10631,68955
20200323,53588,259612,14571,2770,3937,,,,,,568,327771,97,914,11449,58200
20200322,42139,212861,2842,2155,3023,,,,,,471,257842,143,1003,9251,45272
20200321,32888,176840,3468,1436,2020,,,,,,328,213196,61,1912,6883,45270
20200320,26005,138453,3330,1042,108,,,,,,267,167788,68,23,6252,36612
20200319,19753,108093,3016,617,85,,,,,,199,130862,46,18,4665,27940
20200318,15088,84818,2526,416,67,,,,,,153,102432,31,12,3170,25089
20200317,11918,62899,1687,325,55,,,,,,122,76504,22,13,3604,17253
20200316,8314,49250,1691,,42,,,,,,100,59255,21,6,1568,17869
20200315,6746,32949,2242,,36,,,,,,79,41937,15,10,1250,7622
20200314,5496,26577,1236,,26,,,,,,64,33309,9,4,921,4586
20200313,4575,22912,1130,,22,,,,,,55,28617,4,6,1028,9174
20200312,3547,14766,673,,16,,,,,,51,18986,8,5,674,5265
20200311,2873,10175,563,,11,,,,,,43,13611,6,3,529,3822
20200310,2344,6882,469,,8,,,,,,37,9695,2,0,440,2494
20200309,1904,4828,313,,8,,,,,,35,7045,4,2,366,1757
20200308,1538,3437,347,,6,,,,,,31,5322,4,0,267,856
20200307,1271,2848,602,,6,,,,,,27,4721,1,0,220,792
20200306,1051,2276,458,,6,,,,,,26,3785,6,1,142,776
20200305,909,1642,197,,5,,,,,,20,2748,4,1,152,618
20200304,757,1176,103,,4,,,,,,16,2036,2,4,187,1093
20200303,570,270,,,,,,,,,14,840,3,0,101,248
20200302,469,123,,,,,,,,,11,592,3,0,82,193
20200301,387,12,,,,,,,,,8,399,3,0,88,83
20200229,299,17,,,,,,,,,5,316,1,0,24,41
20200228,275,0,,,,,,,,,4,275,2,0,40,40
20200227,235,0,,,,,,,,,2,235,0,0,27,27
20200226,208,0,,,,,,,,,2,208,2,0,29,29
20200225,179,0,,,,,,,,,,179,0,0,31,31
20200224,148,0,,,,,,,,,,148,0,0,26,26
20200223,122,0,,,,,,,,,,122,0,0,16,16
20200222,106,0,,,,,,,,,,106,0,0,13,13
20200221,93,0,,,,,,,,,,93,0,0,11,11
20200220,82,0,,,,,,,,,,82,0,0,13,13
20200219,69,0,,,,,,,,,,69,0,0,10,10
20200218,59,0,,,,,,,,,,59,0,0,9,9
20200217,50,0,,,,,,,,,,50,0,0,15,15
20200216,35,0,,,,,,,,,,35,0,0,7,7
20200215,28,0,,,,,,,,,,28,0,0,7,7
20200214,21,0,,,,,,,,,,21,0,0,3,3
20200213,18,0,,,,,,,,,,18,0,0,0,0
20200212,18,0,,,,,,,,,,18,0,0,1,1
20200211,17,0,,,,,,,,,,17,0,0,1,1
20200210,16,0,,,,,,,,,,16,0,0,3,3
20200209,13,0,,,,,,,,,,13,0,0,0,0
20200208,13,0,,,,,,,,,,13,0,0,1,1
20200207,12,0,,,,,,,,,,12,0,0,1,1
20200206,11,0,,,,,,,,,,11,0,0,3,3
20200205,8,0,,,,,,,,,,8,0,0,0,0
20200204,8,0,,,,,,,,,,8,0,0,1,1
20200203,7,0,,,,,,,,,,7,0,0,1,1
20200202,6,0,,,,,,,,,,6,0,0,2,2
20200201,4,0,,,,,,,,,,4,0,0,1,1
20200131,3,0,,,,,,,,,,3,0,0,0,0
20200130,3,0,,,,,,,,,,3,0,0,0,0
20200129,3,0,,,,,,,,,,3,0,0,1,1
20200128,2,0,,,,,,,,,,2,0,0,0,0
20200127,2,0,,,,,,,,,,2,0,0,0,0
20200126,2,0,,,,,,,,,,2,0,0,0,0
20200125,2,0,,,,,,,,,,2,0,0,0,0
20200124,2,0,,,,,,,,,,2,0,0,0,0
20200123,2,0,,,,,,,,,,2,0,0,0,0
20200122,2,0,,,,,,,,,,2,0,0,0,0
